"Text Editing","Backward Character","Shift+Ctrl+B","Editing Text"
"Run/Debug","Resume","Ctrl+X Ctrl+A Ctrl+R","Debugging"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"WindowBuilder Pro","Empty command","Shift+Ctrl+A","WindowBuilder Java scope"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","I-Search backward","Ctrl+R","Editing Text"
"Text Editing","Join Frame","Ctrl+X 5 0","Editing Text"
"Edit","Backward Kill Sexp","Ctrl+Alt+Backspace","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Text Editing","Begin Buffer","Alt+<","Editing Text"
"Edit","Undo","Ctrl+/","In Windows"
"Edit","Transpose Sexps","Ctrl+Alt+T","Editing Text"
"Text Editing","Kbd Macro Start","F3","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+7","Editing Text"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Text Editing","Kbd Macro Call","Ctrl+X Ctrl+K K","Editing Text"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"Text Editing","Repeat","Z","Repeating"
"Text Editing","Scroll Other Window","Alt+PageDown","Editing Text"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Edit","Forward Sexp","Alt+Right","Editing Text"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Text Editing","Pop Tag Mark","Esc *","Editing Text"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Text Editing","Query Replace Regexp","Shift+Ctrl+Alt+5","Editing Text"
"Text Editing","Previous Line","Shift+Ctrl+P","Editing Text"
"gazonk.del","Cut","Ctrl+W","In Console View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Text Editing","Backward Up List","Ctrl+Alt+U","Editing Text"
"Text Editing","Split Window Vertically","Ctrl+X 2","In Windows"
"Run/Debug","Step Over","Ctrl+C Ctrl+N","Debugging"
"Text Editing","Widen","Ctrl+X N W","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Text Editing","Delete Horizontal Space","Alt+\","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Edit","Toggle Comment","Esc ;","Editing in Structured Text Editors"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Edit","Undo","F9","In Windows"
"Text Editing","Begin Buffer","Ctrl+Home","Editing Text"
"gazonk.del","Delete Previous Word","Alt+Backspace","In Console View"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Text Editing","End Line","Ctrl+E","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Text Editing","Query Replace Regexp","Ctrl+Alt+%","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Run/Debug","Step Into","Ctrl+X Ctrl+A Ctrl+S","Debugging"
"Text Editing","Backward Up List","Ctrl+Alt+Up","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Text Editing","Capitalize","Alt+C","Editing Text"
"Text Editing","Begin Line","Shift+Home","Editing Text"
"Text Editing","Repeat","Ctrl+X Z","Editing Text"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Deactivate Window","Ctrl+X 0","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Text Editing","Forward Word","Ctrl+Right","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","View Register","Ctrl+X R V","Editing Text"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","What Cursor Position","Ctrl+X =","Editing Text"
"Text Editing","Shrink Window","Ctrl+X {","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+2","Editing Text"
"Text Editing","Text Start","Alt+<","Editing Text"
"Text Editing","Universal Argument","Ctrl+1","Editing Text"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Text Editing","Comment Next","Esc N","Editing Java Source"
"Text Editing","Describe Help Commands","Ctrl+H ?","Editing Text"
"Text Editing","Text End","Esc >","Editing Text"
"Text Editing","Query Replace","Shift+Alt+5","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Where Is Command","Ctrl+H W","Editing Text"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Text Editing","Balance Windows","Ctrl+X +","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Insert Register","Ctrl+X R G","Editing Text"
"Text Editing","Increment Register","Ctrl+X R +","Editing Text"
"Text Editing","Kbd Macro Bind To Key","Ctrl+X Ctrl+K B","Editing Text"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Universal Argument","Alt+7","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Edit","Transpose Words","Alt+T","Editing Text"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Universal Argument","Alt+2","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Text Editing","Universal Argument","Ctrl+Alt+3","Editing Text"
"Text Editing","Open Declaration Other Window","Ctrl+X 4 .","In Windows"
